雨の日の,下校のときに,見た枝は,くもの巣さえも,美しきかな
友達に,負けたくなくて,嘘をつく,おれの父さん,社長なんだぜ
リアルより,ある意味多い,友達も,ほんとに安心,できるものかな
沖縄に,毎月行きたい,海を見る,君の横顔,見ていたいから
あっけなく,春過ぎ去れば,沖縄の,蛇口に熱湯,あふれだす夏
沖縄の,海は青くて,風の中,わたしは空気を,お土産にした
沖縄の,方言で聞く,「ありがとう」,他の県より,あたたかい気がする
沖縄に,行ったことすら,ないけれど,歌聴くだけで,得した気分
二十三,沖縄に行き,人生で,初めて青い,海を見た日
珊瑚には,天然色の,熱帯魚,マリンブルーに,透ける沖縄
沖縄の,水色の海,珊瑚たち,安心をする,水色ならば
沖縄の,命(ぬち)どぅ宝,その言葉,摩文仁(まぶに)の丘で,幾度呟く
自らの,人生を語る,沖縄の,おばあの強い,瞳忘れない
わが子をね,“思い産んだ子”で,思産子(うみなしぐれ),うちなーぐちは,心がほっこり
沖縄に,降らぬ雪への,憧れか,雪払いなる,組踊あり
太陽の,恵みたっぷり,沖縄の,届いたマンゴー,とろける笑顔
三線が,響き渡れば,泡盛を,片手に踊る,グソーの世界
琉球の,思い溢れる,朱の城,失せてなお立つ,龍の目に涙
行ったこと,ないけど君は,琉球だ,凪に浮かんだ,優しさの島
場内に,響く琉球,太鼓から,生きる鼓動が,僕に生まれた
東(ひんがし)の,空に旗振り,エイサーの,太鼓響きて,夏来(きた)る
滑走路,有刺鉄線,プラカード,風はフェンスを,抜けてくるのに
戦争の,悲しさ苦しみ,乗り越えて,ハイビスカスが,眩しく咲いて
負けたって,どうでもいいよ,お揃いの,Ｔシャツ作る,口実だから
体育祭,勝利に喜び,ハイタッチ,私がするのは,許されなかった
競技より,覚えてるのは,後夜祭,フォークダンスと,打ち上げ花火
体育祭,トラック駆ける,君見つけ,幸と愁いで,半周ずつ
リレーバトン,君に繋ぐ,祈るように,青いハチマキ,砂の味
来年は,君から借りた,学ランで,君を真っ直ぐ,応援するんだ
体育祭,借り物の指示,「好きな人」,心拍数は,校内トップ
体育祭,君と同じ,赤色の,鉢巻巻いて,全力疾走
うれしくて,つい駆け寄った,学年で,一番速い,わたしの一番
真っ白い,体操服に,照りつける,君は太陽,体育の秋
旗を持ち,「若い力」を,全力で,歌う団長,ロケットが如く
体育祭,終わった後の,校庭は,なぜか悲しく,なぜか寂しい
懸命に,飛んで走って,応援し,燃えつきた秋,友と刻みし
体育祭,みんな輝く,奇跡の日,のはずだったけど,君だけ眩しい
もういっそ,雨天中止を,決めてくれ,明日も雨だし,気温は１２℃
歓声と,ともに起こせよ,砂ぼこり,その先に君,視線隠して
100メートル,リレーが終わった,その後も,歩くし食べるし,いつかは死ぬし
悔しさも,愛も闘志も,出し切って,笑顔咲き誇れ,君に勝利あれ
お揃いの,Ｔシャツを着て,お揃いの,思い出つくる,私の青春
「本当に,待ちに待ったの？」,「なわけない」,今日はつまらん,体育祭ね
