label order: ['emotion.happy', 'emotion.funny', 'emotion.calm', 'emotion.sad', 'emotion.lonely', 'emotion.angry']
{'eval_loss': 0.6176599264144897, 'eval_f1': 0.34628975265017664, 'eval_runtime': 0.2073, 'eval_samples_per_second': 144.721, 'eval_steps_per_second': 9.648, 'epoch': 129.0}
{'eval_loss': 0.6173266172409058, 'eval_f1': 0.35, 'eval_runtime': 0.2177, 'eval_samples_per_second': 137.776, 'eval_steps_per_second': 9.185, 'epoch': 130.0}
{'eval_loss': 0.6170160174369812, 'eval_f1': 0.35, 'eval_runtime': 0.2222, 'eval_samples_per_second': 134.996, 'eval_steps_per_second': 9.0, 'epoch': 131.0}
{'eval_loss': 0.616692304611206, 'eval_f1': 0.35, 'eval_runtime': 0.2092, 'eval_samples_per_second': 143.423, 'eval_steps_per_second': 9.562, 'epoch': 132.0}
{'eval_loss': 0.6164302825927734, 'eval_f1': 0.3453237410071942, 'eval_runtime': 0.2197, 'eval_samples_per_second': 136.549, 'eval_steps_per_second': 9.103, 'epoch': 133.0}
{'eval_loss': 0.6161668300628662, 'eval_f1': 0.3465703971119134, 'eval_runtime': 0.2067, 'eval_samples_per_second': 145.106, 'eval_steps_per_second': 9.674, 'epoch': 134.0}
{'eval_loss': 0.6158725619316101, 'eval_f1': 0.3478260869565218, 'eval_runtime': 0.2107, 'eval_samples_per_second': 142.393, 'eval_steps_per_second': 9.493, 'epoch': 135.0}
{'eval_loss': 0.61558997631073, 'eval_f1': 0.3418181818181819, 'eval_runtime': 0.2164, 'eval_samples_per_second': 138.65, 'eval_steps_per_second': 9.243, 'epoch': 136.0}
{'eval_loss': 0.6153011322021484, 'eval_f1': 0.3418181818181819, 'eval_runtime': 0.207, 'eval_samples_per_second': 144.928, 'eval_steps_per_second': 9.662, 'epoch': 137.0}
{'eval_loss': 0.6150147318840027, 'eval_f1': 0.34306569343065696, 'eval_runtime': 0.2055, 'eval_samples_per_second': 145.969, 'eval_steps_per_second': 9.731, 'epoch': 138.0}
{'eval_loss': 0.614700973033905, 'eval_f1': 0.3443223443223444, 'eval_runtime': 0.2061, 'eval_samples_per_second': 145.55, 'eval_steps_per_second': 9.703, 'epoch': 139.0}
